Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0603_1608Metric,86.3000,-110.1500,90.0,Bottom
C10,1uF,C_0402_1005Metric,91.2500,-100.0000,180.0,Bottom
C11,100nF,C_0402_1005Metric,93.3000,-100.0000,180.0,Bottom
C12,10uF,C_0603_1608Metric,100.6000,-106.2000,90.0,Bottom
C13,100nF,C_0402_1005Metric,99.0000,-99.9000,90.0,Bottom
C14,100nF,C_0402_1005Metric,97.6000,-99.9000,90.0,Bottom
C15,100nF,C_0402_1005Metric,93.2000,-98.6000,180.0,Bottom
C16,12pF,C_0402_1005Metric,104.5000,-102.6500,-90.0,Bottom
C17,12pF,C_0402_1005Metric,102.1000,-102.6500,-90.0,Bottom
C18,100nF,C_0402_1005Metric,89.8000,-94.3500,180.0,Bottom
C19,100nF,C_0402_1005Metric,91.9000,-94.3500,180.0,Bottom
C2,10uF,C_0603_1608Metric,86.3000,-107.1000,90.0,Bottom
C20,1uF,C_0402_1005Metric,89.2000,-100.0000,180.0,Bottom
C21,100nF,C_0402_1005Metric,89.0500,-108.5000,0.0,Top
C22,1uF,C_0402_1005Metric,87.0000,-108.5000,0.0,Top
C23,100nF,C_0402_1005Metric,93.1500,-108.5000,0.0,Top
C3,2.2uF,C_0603_1608Metric,86.3000,-104.0500,90.0,Bottom
C4,100nF,C_0402_1005Metric,84.7000,-107.0000,90.0,Bottom
C5,10uF,C_0603_1608Metric,86.3000,-101.0000,90.0,Bottom
C6,1uF,C_0402_1005Metric,84.7000,-103.8000,90.0,Bottom
C7,10uF,C_0603_1608Metric,95.4000,-100.9000,90.0,Bottom
C8,10uF,C_0603_1608Metric,100.5500,-100.4500,90.0,Bottom
C9,1uF,C_0402_1005Metric,91.1000,-108.5000,0.0,Top
D1,ESD9B5.0,D_SOD-923,112.6000,-95.0000,90.0,Bottom
D2,ESD9B3.3,D_SOD-923,112.6000,-106.0000,90.0,Bottom
J1,TYPE-C-31-M-12,USB_C_Receptacle_HRO_TYPE-C-31-M-12,100.0000,-113.6000,180.0,Bottom
J2,FH12A-10S-0.5SH,Hirose_FH12-10S-0.5SH_1x10-1MP_P0.50mm_Horizontal,89.3000,-112.5000,0.0,Top
J3,SM02B-SRSS-TB,JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,85.4000,-97.0000,90.0,Bottom
L1,2.2uH,L_Murata_DFE201612E_2016,98.0000,-102.4000,90.0,Bottom
L2,2.2uH,L_Murata_DFE201612E_2016,98.0000,-106.0000,90.0,Bottom
R1,47k,R_0402_1005Metric,110.0000,-101.5000,180.0,Bottom
R2,150k,R_0402_1005Metric,110.0000,-103.2000,180.0,Bottom
R3,4.7k,R_0402_1005Metric,93.6000,-96.9000,90.0,Bottom
R4,4.7k,R_0402_1005Metric,92.2000,-96.9000,90.0,Bottom
R5,100k,R_0402_1005Metric,92.2000,-89.4000,180.0,Bottom
R6,100k,R_0402_1005Metric,84.9500,-108.5000,0.0,Top
R7,100R,R_0402_1005Metric,110.9000,-95.0000,90.0,Bottom
R8,100R,R_0402_1005Metric,110.9000,-106.0000,90.0,Bottom
RT1,10k NTC,R_0402_1005Metric,84.3000,-93.2000,180.0,Bottom
SW1,PWR/SHIP,SW_Push_1P1T-MP_NO_Horizontal_Alps_SKRTLAE010,115.9000,-95.0000,90.0,Bottom
SW2,USER,SW_Push_1P1T-MP_NO_Horizontal_Alps_SKRTLAE010,115.9000,-106.0000,90.0,Bottom
U1,MDBT50Q-1MV2,Raytac_MDBT50Q,100.0000,-90.5500,180.0,Bottom
U2,nPM1300-QEAA-R7,VQFN-32-1EP_5x5mm_P0.5mm_EP3.5x3.5mm_ThermalVias,91.0000,-104.2000,180.0,Bottom
U3,BMI270,Bosch_LGA-14_3x2.5mm_P0.5mm,91.0000,-92.0000,180.0,Bottom
U4,USBLC6-2SC6,SOT-23-6,92.2000,-109.6000,90.0,Bottom
Y1,32.768kHz,Crystal_SMD_3215-2Pin_3.2x1.5mm,103.4000,-100.3000,180.0,Bottom
